date,movement,set_no,reps,weight
4/2/24,dumbell incline press,1,5,30
4/2/24,dumbell incline press,2,5,35
4/2/24,dumbell incline press,3,5,40
4/2/24,dumbell incline press,4,1,45
4/2/24,dumbell incline press,5,3,35
4/2/24,lateral raises,1,10,8
4/2/24,lateral raises,2,10,8
4/2/24,lateral raises,3,8,10
4/2/24,seated supported rows,1,50,10
4/2/24,seated supported rows,2,60,10
4/2/24,seated supported rows,3,70,8
